IRRID	RIVID	INTERID	RIVPER	RESID	RESPER	CHN
0	111	1	100.00	0	0.00	王庄
1	111	1	100.00	0	0.00	双河
2	111	1	100.00	0	0.00	韩墩
3	111	1	100.00	0	0.00	打鱼张
4	111	1	100.00	0	0.00	麻湾
5	111	1	100.00	0	0.00	刘春家
6	111	1	100.00	0	0.00	马扎子
7	111	1	100.00	0	0.00	胡楼
8	113	1	100.00	0	0.00	胡家岸
9	113	1	100.00	0	0.00	陈孟圈
10	111	1	100.00	0	0.00	簸箕李
11	111	1	100.00	0	0.00	小开河
12	115	1	100.00	0	0.00	李家岸
13	113	1	100.00	0	0.00	刑家渡
14	111	1	100.00	0	0.00	白龙湾
15	115	1	100.00	0	0.00	潘庄
16	119	1	100.00	0	0.00	郭口
17	119	1	100.00	0	0.00	田山
18	119	1	100.00	0	0.00	位山
19	133	1	100.00	0	0.00	陶城铺
20	139	1	100.00	0	0.00	南小堤
21	151	1	100.00	0	0.00	渠村
22	139	1	100.00	0	0.00	苏泗庄
23	139	1	100.00	0	0.00	刘庄
24	133	1	100.00	0	0.00	国那里
25	133	1	100.00	0	0.00	陈垓
26	133	1	100.00	0	0.00	杨集
27	133	1	100.00	0	0.00	苏阁
28	155	1	100.00	0	0.00	大功
29	153	1	100.00	0	0.00	石头庄
30	153	1	100.00	0	0.00	谢寨
31	153	1	100.00	0	0.00	阎潭
32	153	1	100.00	0	0.00	三义寨
33	155	1	100.00	0	0.00	柳园口
34	157	1	100.00	0	0.00	赵口
35	157	1	100.00	0	0.00	中牟杨桥
36	159	1	100.00	0	0.00	人民胜利渠
37	157	1	100.00	0	0.00	韩董庄
38	139	1	100.00	0	0.00	彭楼
39	155	1	100.00	0	0.00	祥符朱
40	159	1	100.00	0	0.00	武嘉
41	161	1	100.00	0	0.00	广利
42	161	1	100.00	0	0.00	引沁
43	310	1	100.00	0	0.00	窄口
44	177	1	100.00	0	0.00	陆浑
50	779	4	100.00	0	0.00	青铜峡
51	719	1	100.00	0	0.00	麻地毫
52	731	5	100.00	0	0.00	民族团结
53	731	5	100.00	0	0.00	镫口
54	723	5	100.00	0	0.00	大黑河
55	755	1	100.00	0	0.00	河套
56	439	1	100.00	0	0.00	汾河
57	439	1	100.00	0	0.00	萧河
58	439	1	100.00	0	0.00	文峪河
59	419	1	100.00	0	0.00	汾西
60	390	1	100.00	0	0.00	禹门口
61	350	1	100.00	0	0.00	夹马口
62	310	1	100.00	0	0.00	尊村
63	310	1	100.00	0	0.00	大禹渡
64	221	1	100.00	0	0.00	石堡川
65	239	1	100.00	0	0.00	桃曲坡
66	350	1	100.00	0	0.00	东雷抽黄（
67	239	1	100.00	0	0.00	泾惠渠
68	231	1	100.00	0	0.00	洛惠渠
69	231	1	100.00	0	0.00	交口抽渭
70	253	1	100.00	0	0.00	冯家山
71	253	1	100.00	0	0.00	羊毛湾
72	253	1	100.00	0	0.00	宝鸡峡
73	253	1	100.00	0	0.00	石头河
74	794	1	100.00	0	0.00	靖会
75	793	1	100.00	0	0.00	兴电
76	791	1	100.00	0	0.00	固海扬水
77	792	1	100.00	0	0.00	景电一期
78	845	1	100.00	0	0.00	湟水流域
